,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,ind_gap,heat_of_formation
0,-3.3221347,-1.2446206,13.52471,-0.90941936,-0.31985688,-0.40186673,-0.46006346,-0.547173,-1.3247454,-0.22310984,1.0274,-1.24055807
1,-2.013694,-0.37598342,-0.36882186,-0.75313175,0.09598118,-0.17791918,-0.13866897,0.23363078,-0.39715645,-0.9022259,0.781,-1.01283278
2,-1.8741798,-0.37167248,-0.13625285,-1.5876712,0.41200995,-0.1365584,-0.118255734,1.1586136,-0.32582575,-0.8431224,1.1399,-1.14508968
3,-3.2901928,-1.2206184,13.068223,-0.9869283,-0.29902178,-0.39030322,-0.44338474,-0.506335,-1.2987847,-0.25811946,0.0,-1.11253953
4,-3.1193364,-1.1784114,13.24658,-1.510718,-0.24825886,-0.35502067,-0.4157474,-0.36936322,-1.2066373,-0.22823453,0.1818,-1.16285904
5,-1.921369,-0.3668283,-0.25035152,-1.2608397,0.30163002,-0.15102969,-0.12556215,0.82327545,-0.34643373,-0.87253326,0.8519,-1.097396247
6,-4.3396077,-1.786911,22.73699,-0.94672567,-0.5257829,-0.5435018,-0.767651,-0.87914103,-1.9005356,0.4235488,0.0,-1.12368817
7,-1.6920232,-0.059862196,-1.305492,-1.7300829,1.2026482,-0.04338739,-0.15842724,2.8848338,0.1461122,-1.2715884,0.0,-0.92291908
8,-1.5466741,-0.18371741,-0.53669775,-2.0799937,0.87551665,-0.06888106,-0.13234274,2.3827062,-0.048380233,-0.9152724,0.1284,-1.04396848
9,-4.3362403,-1.7745507,22.511005,-1.1033515,-0.5006515,-0.53052807,-0.75982994,-0.82232887,-1.8828194,0.22854933,0.0,-1.01776063
10,-4.1601663,-1.7299054,22.655802,-1.6385106,-0.4477845,-0.49396786,-0.7303039,-0.6809133,-1.7875166,0.3682796,0.0,-1.06243054
11,-1.5959328,-0.10588546,-0.955522,-2.0240474,1.1276164,-0.045617808,-0.14278197,2.8511386,0.078737676,-1.1123756,0.0,-1.002226847
12,-3.2973707,-1.2041005,12.517109,-0.8506358,-0.30023012,-0.3919389,-0.44082758,-0.5204845,-1.2937708,-0.29164502,0.0,-1.166497295
13,-2.0773616,-0.4078532,-0.30406976,-0.6329629,-0.00060770515,-0.19159417,-0.14353095,-0.0027929544,-0.44472274,-0.8899849,0.2252,-0.959211105
14,-1.9401922,-0.40416732,-0.07152661,-1.460288,0.30912757,-0.15074669,-0.123650216,0.9012157,-0.37463236,-0.8310747,0.5649,-1.093462005
15,-3.2706127,-1.1837794,12.133748,-0.9278041,-0.28124323,-0.38146716,-0.4263067,-0.482654,-1.2713679,-0.32270548,0.0,-1.057289155
16,-3.092772,-1.1387371,12.238433,-1.403293,-0.23456898,-0.34814706,-0.3968451,-0.35744038,-1.1787217,-0.28951964,0.0,-1.109614665
17,-1.9907187,-0.40357682,-0.1729669,-1.115364,0.18069005,-0.16732804,-0.13041554,0.52202785,-0.40118104,-0.8543725,0.3254,-1.045705172
18,-2.693107,-0.8694887,6.9470277,-1.1688851,-0.13415927,-0.28479046,-0.25310832,-0.21599542,-0.92283833,-0.52800196,1.9981,-1.325690505
19,-2.2771356,-0.5399291,0.6334019,-0.6884879,-0.041619837,-0.22175185,-0.1679142,-0.08124814,-0.59508455,-0.80922717,0.1267,-1.095792715
20,-2.1780336,-0.581346,2.7387931,-1.5249289,-0.0017826915,-0.19368033,-0.16020048,0.30811346,-0.5689966,-0.6881532,0.0181,-1.214388415
21,-2.6883242,-0.8683859,6.9646616,-1.2308493,-0.12719594,-0.281002,-0.24958849,-0.19917934,-0.91885275,-0.53250617,1.016,-1.221824565
22,-2.576501,-0.8357704,7.0122294,-1.6572987,-0.08203798,-0.2516512,-0.23029728,-0.08087893,-0.8496238,-0.5299684,0.8082,-1.240542875
23,-2.2061613,-0.5596426,1.8182997,-1.1810899,-0.017208124,-0.20419525,-0.16083948,0.022622347,-0.5738942,-0.73658323,0.087,-1.169661782
24,-2.668807,-0.8750553,7.2960315,-1.2653245,-0.1331636,-0.28259075,-0.25338486,-0.20499061,-0.917406,-0.49833208,2.6282,-1.36037836
25,-2.2403305,-0.533202,0.7312825,-0.7842724,-0.0344386,-0.21599506,-0.16385186,-0.059400868,-0.5775748,-0.7952623,0.8269,-1.11457837
26,-2.1434844,-0.5750362,2.8357599,-1.6284548,0.03248924,-0.18748446,-0.15582457,0.429299,-0.55203694,-0.67643654,0.6537,-1.24036537
27,-2.694799,-0.87167495,7.0795684,-1.3324416,-0.117744766,-0.27618748,-0.2501844,-0.17363563,-0.91716784,-0.5390775,1.4557,-1.22460492
28,-2.5753086,-0.8492668,7.4297814,-1.7519083,-0.082005545,-0.25105974,-0.23328345,-0.07235074,-0.8552371,-0.5054677,1.6335,-1.26826333
29,-2.1686835,-0.55262816,1.9140499,-1.2824514,-0.00930866,-0.1980432,-0.15637115,0.14019763,-0.55584013,-0.72323126,0.6989,-1.193051637
30,-4.1852474,-1.4672561,12.790643,6.644862,-0.52867836,-0.5571615,-0.5578267,-1.1354784,-1.7944489,-0.41668358,1.0488,-1.17548865
31,-2.3089714,-0.42369977,-0.6876332,4.32583,-0.11831229,-0.26797396,-0.16351901,-0.34896353,-0.5839509,-0.9734713,0.7009,-0.93781856
32,-2.315604,-0.46555454,-0.55793005,7.011026,-0.20008591,-0.31104043,-0.1727819,-0.54264194,-0.6510623,-0.8497206,1.1002,-1.05289026
33,-4.1141324,-1.4405936,12.44002,6.9605317,-0.52991724,-0.554863,-0.5448593,-1.1430984,-1.7643582,-0.4042271,0.0,-1.04469821
34,-4.052756,-1.4375447,12.50449,8.302446,-0.56670725,-0.57136995,-0.5391743,-1.231882,-1.7668387,-0.33332175,0.131,-1.08242902
35,-2.2935004,-0.43861818,-0.6403939,5.9435916,-0.16430695,-0.29140034,-0.16558543,-0.4594907,-0.6123364,-0.90281516,0.7905,-1.009351227
36,-5.1528196,-1.9944199,21.392044,9.274915,-0.78724253,-0.7258298,-0.8459625,-1.6155837,-2.3868523,-0.064562775,0.0,-1.05859425
37,-2.03481,-0.10767376,-1.8385897,5.9150796,-0.022390127,-0.20311669,-0.19848216,-0.15324645,-0.23478846,-1.288225,0.0,-0.84996006
38,-1.8602399,-0.25088733,-1.0902251,8.922926,-0.2000763,-0.2876422,-0.1640476,-0.5420131,-0.3827541,-0.8022755,0.0912,-0.95272066
